State,Air defence systems,Aircraft,Armoured vehicles,Artillery,Engines,Missiles,Naval weapons,Satellites,Sensors,Ships,Other
AUS,0,130,8,0,0,15,0,0,0,310,6
BLR,195,369,40,14,0,12,0,0,23,0,0
BRA,0,213,6,34,0,26,0,0,0,0,0
CAN,0,231,414,0,446,4,0,0,0,0,0
CHI,775,2169,1604,190,1,1138,42,0,244,2150,0
CZR,0,230,129,17,0,0,0,0,72,0,0
FIN,0,0,231,22,61,0,0,0,0,0,0
FRA,191,2865,274,75,495,1208,30,50,1644,2875,0
FRG,198,1065,1275,153,832,623,0,0,127,4210,3
ISR,992,292,78,19,0,1327,45,50,1059,358,28
ITA,32,1663,267,6,1,145,212,50,407,752,56
KOS,0,942,31,196,0,26,0,0,0,590,0
NET,216,202,343,0,0,3,0,0,996,1341,0
NOR,500,13,0,0,0,112,0,0,29,0,208
POR,0,251,0,0,3,0,0,0,0,0,0
RUS,2344,15370,2790,165,2335,3867,194,100,550,3790,216
SA,0,3,261,4,0,56,0,0,0,18,15
SPA,0,2623,32,1,0,0,0,0,137,1468,0
SWE,0,330,58,0,56,218,50,0,373,172,0
SWI,208,740,95,0,0,0,16,0,263,0,0
TUR,0,24,387,62,0,287,0,0,8,396,0
UAE,0,123,170,0,0,3,0,0,0,22,0
UK,51,4360,22,104,403,536,0,0,82,1323,71
UKR,0,726,466,7,652,177,0,0,56,396,2
USA,3318,26178,5740,180,1732,9730,267,0,1665,1113,139
