State,Air defence systems,Aircraft,Armoured vehicles,Artillery,Engines,Missiles,Naval weapons,Satellites,Sensors,Ships,Other
ALG,372,1519,1085,93,52,545,14,0,110,1409,216
AUS,28,3062,50,19,100,662,28,0,154,1456,0
AZB,87,352,683,146,1,301,0,0,39,298,0
BAN,32,400,616,41,83,137,0,0,12,918,0
CHI,158,2585,0,0,1736,381,125,0,626,176,0
EGY,200,2657,673,0,107,575,17,50,131,2164,0
IND,810,10635,503,2,1359,2252,141,0,504,1844,0
INS,206,1596,360,93,89,247,69,0,143,1197,14
IRQ,269,2542,904,51,115,740,0,0,120,187,0
ISR,38,1150,176,7,154,303,0,0,48,600,0
ITA,0,861,0,0,133,153,0,50,297,550,0
JAP,70,1165,6,1,187,184,83,0,110,0,0
KOS,42,949,0,2,416,696,37,0,273,825,0
OMA,211,1186,28,0,43,303,19,0,190,566,0
PAK,351,1631,500,29,213,777,1,0,198,447,0
QAT,330,679,347,110,16,677,0,0,20,34,0
SAU,1241,7341,2607,101,175,2385,0,0,695,84,175
SIN,55,1326,157,0,58,379,31,0,138,0,6
TAI,227,1506,0,0,53,515,3,0,147,396,0
TUR,42,2196,82,164,183,313,108,50,402,0,0
UAE,951,1130,481,26,116,2164,19,0,252,1203,30
UK,28,1663,0,0,180,0,0,0,68,133,0
USA,0,1126,41,58,324,25,30,0,591,579,156
VEN,570,187,268,65,5,288,0,0,0,150,0
VN,285,715,1,0,55,550,0,0,158,2226,0
